Name,IC50,SMILES
3676,11,c1(-c2ccccc2)scc2c1ncn(CC1(O)CCN(CC1)C([C@@H]1CC(F)(CC[C@H]1c1ccccc1)F)=O)c2=O
3677,11,c1cc(C(C)CC(=O)N2CCC(O)(CC2)Cn2c(=O)c3c(cc(NCc4occc4)cc3)nc2)ccc1
3677,11,c1(ncsc1)[C@H]1[C@H](C(N2CCC(O)(CC2)Cn2cnc3c(c2=O)csc3-c2ccccc2)=O)CCC(F)(C1)F
3677,11,c1(C#N)c(C#N)nc2c(C(c3c-2cc(c(OC)c3)OC)=O)n1
3678,11,c1(n(CC2(O)CCN(C(CC(c3ccccc3)C)=O)CC2)cnc2c1ccc(c2)NCc1ccco1)=O
3678,11,n1(c2c(c(n(CC3(O)CCN(C([C@@H]4CCCC(F)([C@H]4c4ccccc4)F)=O)CC3)cn2)=O)cc1)-c1ccccc1
3678,11,c1(ccccc1)-c1scc2c(=O)n(cnc21)CC1(CCN(CC1)C(=O)[C@@H]1CCC(C[C@H]1c1ncsc1)(F)F)O
3678,11,c1c(c(OC)cc2C(c3nc(C#N)c(nc3-c21)C#N)=O)OC
3678,11,C(=O)(N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)[C@H]1[C@@H](CCC(F)(C1)F)c1ccccc1
3679,11,c1cc(ccc1)-n1c2ncn(CC3(O)CCN(C([C@H]4[C@@H](C(F)(CCC4)F)c4ccccc4)=O)CC3)c(=O)c2cc1
3679,11,c1c(cccc1)-c1c2c(cs1)c(=O)n(cn2)CC1(O)CCN(C([C@@H]2CCC(F)(C[C@H]2c2cscn2)F)=O)CC1
3679,11,c12C(=O)c3c(-c2nc(c(n1)C#N)C#N)cc(c(c3)OC)OC
3679,11,C1CC(F)(F)C[C@H]([C@@H]1c1ccccc1)C(N1CCC(CC1)(O)Cn1cnc2c(c1=O)csc2-c1ccccc1)=O
3680,11,c1ccc(C(CC(=O)N2CCC(O)(CC2)Cn2cnc3cc(NCc4occc4)ccc3c2=O)C)cc1
3680,11,c1(-n2c3c(c(=O)n(CC4(CCN(CC4)C(=O)[C@@H]4CCCC(F)([C@H]4c4ccccc4)F)O)cn3)cc2)ccccc1
3680,11,[C@H]1(CC(F)(F)CC[C@H]1C(=O)N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)c1cscn1
3680,11,c1c(c(OC)cc2c1C(=O)c1nc(C#N)c(nc-21)C#N)OC
3680,11,FC1(CC[C@H]([C@@H](C1)C(=O)N1CCC(CC1)(Cn1cnc2c(scc2c1=O)-c1ccccc1)O)c1ccccc1)F
3681,11,N(Cc1occc1)c1ccc2c(n(cnc2c1)CC1(CCN(C(=O)CC(c2ccccc2)C)CC1)O)=O
3681,11,c1cccc([C@H]2[C@@H](CCCC2(F)F)C(=O)N2CCC(O)(CC2)Cn2c(=O)c3c(nc2)n(cc3)-c2ccccc2)c1
3681,11,[C@H]1(CC(CC[C@H]1C(N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)=O)(F)F)c1cscn1
3681,11,c12cc(c(OC)cc1-c1nc(C#N)c(nc1C2=O)C#N)OC
3681,11,N1(CCC(O)(Cn2c(=O)c3c(nc2)c(-c2ccccc2)sc3)CC1)C([C@H]1[C@@H](CCC(F)(C1)F)c1ccccc1)=O
3682,11,c1ccoc1CNc1cc2c(c(=O)n(CC3(O)CCN(CC3)C(=O)CC(c3ccccc3)C)cn2)cc1
3682,11,s1cc([C@H]2[C@H](C(=O)N3CCC(CC3)(O)Cn3c(=O)c4csc(-c5ccccc5)c4nc3)CCC(C2)(F)F)nc1
3682,11,O(c1c(cc2c(-c3c(C2=O)nc(c(n3)C#N)C#N)c1)OC)C
3682,11,C1CN(C(=O)[C@H]2[C@@H](CCC(C2)(F)F)c2ccccc2)CCC1(O)Cn1cnc2c(-c3ccccc3)scc2c1=O
3683,11,C1C(O)(CCN(C1)C(CC(c1ccccc1)C)=O)Cn1c(c2c(nc1)cc(cc2)NCc1ccco1)=O
3683,11,c12c(n(CC3(CCN(CC3)C([C@H]3[C@H](c4ccccc4)C(F)(CCC3)F)=O)O)cnc1n(-c1ccccc1)cc2)=O
3683,11,N1(C(=O)[C@H]2[C@@H](CC(F)(F)CC2)c2cscn2)CCC(O)(Cn2c(c3c(c(sc3)-c3ccccc3)nc2)=O)CC1
3683,11,n1c(c(C#N)nc2c1C(c1cc(c(cc1-2)OC)OC)=O)C#N
3683,11,c1c2c(ncn(CC3(O)CCN(CC3)C([C@@H]3CC(CC[C@H]3c3ccccc3)(F)F)=O)c2=O)c(-c2ccccc2)s1
3684,11,C1C(Cn2cnc3n(ccc3c2=O)-c2ccccc2)(O)CCN(C(=O)[C@@H]2CCCC(F)(F)[C@H]2c2ccccc2)C1
3684,11,c1(ccccc1)-c1scc2c1ncn(CC1(O)CCN(C(=O)[C@@H]3CCC(F)(F)C[C@H]3c3ncsc3)CC1)c2=O
3684,11,C1CN(C([C@@H]2CC(F)(F)CC[C@H]2c2ccccc2)=O)CCC1(O)Cn1c(c2c(c(-c3ccccc3)sc2)nc1)=O
3685,11,O=C(N1CCC(Cn2c(c3ccc(cc3nc2)NCc2occc2)=O)(CC1)O)CC(C)c1ccccc1
3685,11,n1(cnc2c(ccn2-c2ccccc2)c1=O)CC1(CCN(CC1)C([C@@H]1CCCC(F)(F)[C@H]1c1ccccc1)=O)O
3685,11,[C@H]1(c2ncsc2)[C@H](C(N2CCC(O)(CC2)Cn2c(c3csc(-c4ccccc4)c3nc2)=O)=O)CCC(F)(F)C1
3685,11,N1(C([C@@H]2CC(CC[C@H]2c2ccccc2)(F)F)=O)CCC(CC1)(Cn1cnc2c(scc2c1=O)-c1ccccc1)O
4088,11,c1c(cccc1)C(CC(=O)N1CCC(CC1)(O)Cn1cnc2cc(ccc2c1=O)NCc1occc1)C
4088,11,c1cc(-n2c3c(cc2)c(=O)n(CC2(CCN(C(=O)[C@H]4[C@H](c5ccccc5)C(F)(CCC4)F)CC2)O)cn3)ccc1
4088,11,c12c(-c3c(nc(c(n3)C#N)C#N)C2=O)cc(c(c1)OC)OC
4088,11,c1c(cccc1)-c1scc2c1ncn(c2=O)CC1(O)CCN(C([C@@H]2CC(F)(F)CC[C@H]2c2ccccc2)=O)CC1
4089,11,c1ccccc1[C@@H]1C(F)(CCC[C@H]1C(=O)N1CCC(Cn2cnc3c(c2=O)ccn3-c2ccccc2)(O)CC1)F
4089,11,C1N(C(=O)[C@H]2[C@H](c3ncsc3)CC(F)(F)CC2)CCC(Cn2cnc3c(scc3c2=O)-c2ccccc2)(C1)O
4089,11,O=C1c2c(nc(C#N)c(n2)C#N)-c2cc(c(OC)cc21)OC
4089,11,c1(-c2ccccc2)c2c(c(=O)n(CC3(CCN(CC3)C([C@@H]3CC(F)(F)CC[C@H]3c3ccccc3)=O)O)cn2)cs1
4090,11,c1cccc(c1)C(C)CC(N1CCC(CC1)(Cn1c(=O)c2c(nc1)cc(NCc1ccco1)cc2)O)=O
4090,11,C(C1(O)CCN(CC1)C(=O)[C@@H]1CCCC(F)([C@H]1c1ccccc1)F)n1cnc2c(c1=O)ccn2-c1ccccc1
4090,11,c1(scc2c1ncn(CC1(O)CCN(CC1)C(=O)[C@@H]1CCC(C[C@H]1c1cscn1)(F)F)c2=O)-c1ccccc1
4090,11,c12cc(c(cc2C(c2nc(c(C#N)nc-12)C#N)=O)OC)OC
4090,11,c1ccc([C@@H]2CCC(F)(C[C@H]2C(N2CCC(Cn3cnc4c(c3=O)csc4-c3ccccc3)(O)CC2)=O)F)cc1
4093,11,CC(c1ccccc1)CC(N1CCC(Cn2c(=O)c3c(cc(cc3)NCc3occc3)nc2)(O)CC1)=O
4093,11,C1[C@H]([C@@H](C(F)(F)CC1)c1ccccc1)C(=O)N1CCC(CC1)(O)Cn1cnc2c(ccn2-c2ccccc2)c1=O
4093,11,C1[C@H]([C@H](c2cscn2)CC(F)(F)C1)C(N1CCC(CC1)(O)Cn1cnc2c(c1=O)csc2-c1ccccc1)=O
4093,11,c1(C#N)c(nc2c(-c3c(C2=O)cc(c(c3)OC)OC)n1)C#N
4093,11,FC1(F)CC[C@H]([C@@H](C1)C(N1CCC(CC1)(O)Cn1c(=O)c2csc(-c3ccccc3)c2nc1)=O)c1ccccc1
4094,11,O=c1c2c(cc(NCc3ccco3)cc2)ncn1CC1(O)CCN(CC1)C(=O)CC(C)c1ccccc1
4094,11,O=C(N1CCC(CC1)(O)Cn1cnc2c(-c3ccccc3)scc2c1=O)[C@H]1[C@H](c2cscn2)CC(CC1)(F)F
4094,11,COc1cc2-c3nc(C#N)c(C#N)nc3C(=O)c2cc1OC
4094,11,c12c(-c3ccccc3)scc1c(n(cn2)CC1(O)CCN(C([C@@H]2CC(F)(F)CC[C@H]2c2ccccc2)=O)CC1)=O
4095,11,C1CC(Cn2cnc3c(ccc(c3)NCc3ccco3)c2=O)(CCN1C(=O)CC(c1ccccc1)C)O
