Name,canonical smi,IC50,Unit,Source,Source type
39,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1CO,0.5,uM,US20190142834A1,Patent
40,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(C)C1,0.5,uM,US20190142834A1,Patent
41,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(CF)C1,0.5,uM,US20190142834A1,Patent
42,O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(Cl)cc(Br)c3OC3CNCC3F)c2s1,0.5,uM,US20190142834A1,Patent
43,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1C,0.5,uM,US20190142834A1,Patent
44,COC1CNCC1Oc1c(C)cc(Cl)cc1-c1ccnc2cc(CN3C(=O)CCC3=O)sc12,0.5,uM,US20190142834A1,Patent
45,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1CF,0.5,uM,US20190142834A1,Patent
46,Cc1cc(C#N)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
47,Cc1cc(C#N)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
48,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1C(F)F,0.5,uM,US20190142834A1,Patent
49,Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)C5C6CCC(C6)C5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
50,Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCS4(=O)=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
51,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(CO)C1,0.5,uM,US20190142834A1,Patent
52,Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
53,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNC1C,0.5,uM,US20190142834A1,Patent
54,O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(Cl)cc(C(F)(F)F)c3OC3CNCC3F)c2s1,0.5,uM,US20190142834A1,Patent
55,N#Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
56,N#Cc1cc(Cl)c(OC2CNCC2F)c(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1,0.5,uM,US20190142834A1,Patent
57,O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(Cl)cc(Cl)c3OC3CNCC3F)c2s1,0.5,uM,US20190142834A1,Patent
58,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(C)CC1F,0.5,uM,US20190142834A1,Patent
59,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCC(N)C1,0.5,uM,US20190142834A1,Patent
60,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)COC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
61,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
62,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(C)(C)C1,0.5,uM,US20190142834A1,Patent
63,Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
64,Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
65,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)OC(C)(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
66,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
67,Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(Cn4c(=O)[nH]cc(F)c4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
68,CCC(c1cc2nccc(-c3cc(Cl)cc(C)c3OC3CNCC3F)c2s1)N1C(=O)CCC1=O,0.5,uM,US20190142834A1,Patent
69,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCN5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
70,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
71,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCC5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
72,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCN5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
73,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)SC(C)(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
74,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CN(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
75,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4C(F)(F)F)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
76,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
77,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
78,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
79,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCNC4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
80,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)cc[nH]c4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
81,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)NC(C)(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
82,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)N(C)C(C)(C)C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
83,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCC(N2CCC2)C1,0.5,uM,US20190142834A1,Patent
84,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
85,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
86,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
87,Cc1cc(Cl)cc(-c2ccnc3c(F)c(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
88,Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
89,CCN1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)CC1,0.5,uM,US20190142834A1,Patent
90,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
91,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
92,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)cc[nH]c4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
93,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)NC(C)(C)C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
94,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
95,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
96,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
97,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNC(C)(C)C1,0.5,uM,US20190142834A1,Patent
98,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1C2CNCC1C2,0.5,uM,US20190142834A1,Patent
99,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
100,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
101,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
102,Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
103,CNC1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)CC1,0.5,uM,US20190142834A1,Patent
104,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CC2CCC(C1)N2,0.5,uM,US20190142834A1,Patent
105,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCN(C)CC1,0.5,uM,US20190142834A1,Patent
106,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CC2CNC1C2,0.5,uM,US20190142834A1,Patent
107,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCNC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
108,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCN5C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
109,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
110,Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
111,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
112,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1CO,0.5,uM,US20190142834A1,Patent
113,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
114,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC5(CCCC5)CC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
115,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
116,Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
117,Cc1cc(Cl)cc(-c2ccnc3c(F)c(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
118,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCCC1C,0.5,uM,US20190142834A1,Patent
119,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
120,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
121,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCC(N2CCOCC2)C1,0.5,uM,US20190142834A1,Patent
122,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
123,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
124,Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
125,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
126,Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
127,Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
128,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCN(C2COC2)CC1,0.5,uM,US20190142834A1,Patent
129,CCC(c1cc2nccc(-c3cc(Cl)cc(C)c3OC3CCCNC3)c2s1)N1C(=O)CCC1=O,0.5,uM,US20190142834A1,Patent
130,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC(C)(C)CC4=O)sc23)c1OC1CCNCC1,0.5,uM,US20190142834A1,Patent
131,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
132,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCCNC1,0.5,uM,US20190142834A1,Patent
133,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNCC1,0.5,uM,US20190142834A1,Patent
134,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1C(F)(F)F,0.5,uM,US20190142834A1,Patent
135,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCN(C)CC1C,0.5,uM,US20190142834A1,Patent
136,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1(C(F)(F)F)CCCNC1,0.5,uM,US20190142834A1,Patent
137,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1(C)F,0.5,uM,US20190142834A1,Patent
138,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CC(N)C1,0.5,uM,US20190142834A1,Patent
139,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CC(N2CCOCC2)C1,0.5,uM,US20190142834A1,Patent
140,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1(C)CNC1,0.5,uM,US20190142834A1,Patent
141,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CNCCC1C,0.5,uM,US20190142834A1,Patent
142,Cc1cc([N+](=O)[O-])cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1Oc1cncc(N)c1,0.5,uM,US20190142834A1,Patent
143,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C(C)(C)C)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
144,Cc1cc([N+](=O)[O-])cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OCc1cn[nH]c1,0.5,uM,US20190142834A1,Patent
145,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)F)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
146,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C5CC5)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
147,Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCC(C)(C)NC1,0.5,uM,US20190142834A1,Patent
148,Cc1cc(Cl)cc(-c2ccnc3cc(C(C)n4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
149,Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
150,Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
151,Cc1cc(C(=O)O)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
152,CC1CNCCC1Oc1ccccc1-c1ccnc2cc(Cn3c(=O)ccn(CC(F)(F)F)c3=O)sc12,0.5,uM,US20190142834A1,Patent
153,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
154,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
155,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)SC(C)(C)C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
156,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C(C)C(C)C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
157,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCC5C4=O)sc23)c1OC1CCCNC1,0.5,uM,US20190142834A1,Patent
158,CCN1CC(F)C(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C1,0.5,uM,US20190142834A1,Patent
159,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CNCC1F,0.5,uM,US20190142834A1,Patent
160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNC1C,0.5,uM,US20190142834A1,Patent
161,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(CCO)CC1F,0.5,uM,US20190142834A1,Patent
162,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CCC(C)NC1,0.5,uM,US20190142834A1,Patent
163,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCC(C)NC1,0.5,uM,US20190142834A1,Patent
164,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
165,CCN1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C(C)C1,0.5,uM,US20190142834A1,Patent
166,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCN(C)CC1C,0.5,uM,US20190142834A1,Patent
167,Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1F,0.5,uM,US20190142834A1,Patent
