SMILES,Name,IC50,Unit
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1C,43,0.5,¦ÌM
COC1CNCC1Oc1c(C)cc(Cl)cc1-c1ccnc2cc(CN3C(=O)CCC3=O)sc12,44,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1CF,45,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,46,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ncnc3cc(CN4C(=O)c5ccccc5C4=O)sc23)c1OC1CNCC1F,47,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1C(F)F,48,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)C5C6CCC(C6)C5C4=O)sc23)c1OC1CNCC1F,49,0.5,¦ÌM
Cc1cc(C#N)cc(-c2ccnc3cc(CN4C(=O)CCS4(=O)=O)sc23)c1OC1CNCC1F,50,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(CO)C1,51,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CNCC1F,52,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNC1C,53,0.5,¦ÌM
O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(Cl)cc(C(F)(F)F)c3OC3CNCC3F)c2s1,54,0.5,¦ÌM
N#Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCC1F,55,0.5,¦ÌM
N#Cc1cc(Cl)c(OC2CNCC2F)c(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1,56,0.5,¦ÌM
O=C1CCC(=O)N1Cc1cc2nccc(-c3cc(Cl)cc(Cl)c3OC3CNCC3F)c2s1,57,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(C)CC1F,58,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCC(N)C1,59,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)COC4=O)sc23)c1OC1CNCC1F,60,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CNCC1F,61,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNC(C)(C)C1,62,0.5,¦ÌM
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CNCC1F,63,0.5,¦ÌM
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CNCC1F,64,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)OC(C)(C)C4=O)sc23)c1OC1CNCC1F,65,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CNCC1F,66,0.5,¦ÌM
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(Cn4c(=O)[nH]cc(F)c4=O)sc23)c1OC1CNCC1F,67,0.5,¦ÌM
CCC(c1cc2nccc(-c3cc(Cl)cc(C)c3OC3CNCC3F)c2s1)N1C(=O)CCC1=O,68,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCN5C4=O)sc23)c1OC1CNCC1F,69,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCC5C4=O)sc23)c1OC1CNCC1F,70,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCCC5C4=O)sc23)c1OC1CNCC1F,71,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCCN5C4=O)sc23)c1OC1CNCC1F,72,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)SC(C)(C)C4=O)sc23)c1OC1CNCC1F,73,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CN(C)C4=O)sc23)c1OC1CNCC1F,74,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4C(F)(F)F)sc23)c1OC1CNCC1F,75,0.5,¦ÌM
